mana;name;type;order
1B;Mindleech Ghoul;Creature;185
1B;Parasitic Grasp;Instant;66
1B;Ragged Recluse;Creature;115
1B;Restless Bloodseeker;Creature;147
1B;Undead Butler;Creature;95
1B;Vampire's Kiss;Sorcery;258
1B;Voldaren Bloodcaster;Creature;27
2B;Aim for the Head;Sorcery;207
2B;Archghoul of Thraben;Creature;110
2B;Catapult Fodder;Creature;120
2B;Courier Bat;Creature;153
2B;Demonic Bargain;Sorcery;266
2B;Desperate Farmer;Creature;114
2B;Dying to Serve;Enchantment;52
2B;Falkenrath Forebear;Creature;34
2B;Fell Stinger;Creature;51
2B;Gluttonous Guest;Creature;138
2B;Headless Rider;Creature;41
1BB;Hero's Downfall;Instant;50
1BB;Path of Peril;Sorcery;57
2B;Pointed Discussion;Sorcery;184
2BB;Bleed Dry;Instant;58
3B;Bloodcrazed Socialite;Creature;129
3B;Bloodsworn Squire;Creature;217
2BB;Bloodvial Purveyor;Creature;13
3B;Diregraf Scavenger;Creature;109
2BB;Henrika Domnathi;Legendary Creature;4
2BB;Innocent Traveler;Creature;170
3B;Skulking Killer;Creature;220
2BB;Sorin the Mirthless;Legendary Planeswalker;7
3BB;Edgar's Awakening;Sorcery;186
3BB;Rot-Tide Gargantua;Creature;137
4B;Unhallowed Phalanx;Creature;252
3BB;Wedding Security;Creature;165
4BB;Cemetery Desecrator;Creature;5
5B;Grisly Ritual;Sorcery;230
5BB;Dreadfeast Demon;Creature;2
5BB;Toxrill, the Corrosive;Legendary Creature;3
R;Ancestral Anger;Sorcery;203
R;End the Festivities;Sorcery;256
R;Flame-Blessed Bolt;Instant;92
R;Kessig Wolfrider;Creature;81
R;Voldaren Epicure;Creature;181
1R;Abrade;Instant;70
1R;Blood Petal Celebrant;Creature;136
1R;Cemetery Gatekeeper;Creature;94
1R;Hungry Ridgewolf;Creature;127
1R;Kessig Flamebreather;Creature;172
1R;Reckless Impulse;Sorcery;105
1R;Runebound Wolf;Creature;85
1R;Sanguine Statuette;Artifact;152
1R;Sure Strike;Instant;200
1R;Voltaic Visionary;Creature;59
1RR;Alchemist's Gambit;Sorcery;251
2R;Alluring Suitor;Creature;60
2R;Belligerent Guest;Creature;195
2R;Bloody Betrayal;Sorcery;257
2R;Blood Hypnotist;Creature;173
1RR;Chandra, Dressed to Kill;Legendary Planeswalker;49
2R;Curse of Hospitality;Enchantment;164
2R;Daybreak Combatants;Creature;163
1RR;Dominating Vampire;Creature;93
2R;Fearful Villager;Creature;216
2R;Honeymoon Hearse;Artifact;219
2R;Markov Retribution;Sorcery;229
2R;Rending Flame;Instant;56
2R;Vampires' Vengeance;Instant;107
2RR;Ballista Watcher;Creature;53
3R;Change of Fortune;Sorcery;265
3R;Creepy Puppeteer;Creature;33
2RR;Ill-Tempered Loner;Creature;29
3R;Into the Night;Sorcery;218
3R;Lambholt Raconteur;Creature;169
3R;Lightning Wolf;Creature;202
2RR;Manaform Hellkite;Creature;8
2RR;Stensia Uprising;Enchantment;28
3R;Weary Prisoner;Creature;192
4R;Falkenrath Celebrants;Creature;108
4R;Frenzied Devils;Creature;183
4R;Lacerate Flesh;Sorcery;182
3RR;Volatile Arsonist;Creature;18
4RR;Olivia's Attendants;Creature;37
4RR;Pyre Spawn;Creature;201
XRR;Magma Pummeler;Creature;162
G;Ascendant Packleader;Creature;91
G;Dig Up;Sorcery;161
G;Massive Might;Instant;198
G;Snarling Wolf;Creature;179
1G;Bramble Armor;Artifact;238
1G;Dawnhart Disciple;Creature;126
1G;Mulch;Sorcery;193
1G;Packsong Pup;Creature;47
1G;Reclusive Taxidermist;Creature;65
1G;Sporeback Wolf;Creature;160
1G;Toxic Scorpion;Creature;178
1G;Witch's Web;Instant;177
2G;Apprentice Sharpshooter;Creature;135
1GG;Cemetery Prowler;Creature;48
2G;Crawling Infestation;Enchantment;249
2G;Crushing Canopy;Instant;255
2G;Hamlet Vanguard;Creature;69
2G;Howling Moon;Enchantment;68
2G;Nature's Embrace;Enchantment;228
2G;Oakshade Stalker;Creature;118
2G;Retrieve;Sorcery;227
2G;Sheltering Boughs;Enchantment;226
2G;Spiked Ripsaw;Artifact;150
2G;Spore Crawler;Creature;106
2G;Weaver of Blossoms;Creature;101
2G;Wolf Strike;Instant;80
3G;Cartographer's Survey;Sorcery;250
3G;Dormant Grove;Enchantment;76
3G;Hiveheart Shaman;Creature;32
3G;Hookhand Mariner;Creature;116
3G;Howlpack Piper;Creature;31
3G;Laid to Rest;Enchantment;199
3G;Rural Recruit;Creature;180
3G;Sawblade Slinger;Creature;151
3G;Splendid Reclamation;Sorcery;264
2GG;Ulvenwald Oddity;Creature;17
4G;Cloaked Cadet;Creature;134
3GG;Glorious Sunrise;Enchantment;19
4G;Infestation Expert;Creature;119
4G;Moldgraf Millipede;Creature;194
4GG;Avabruck Caretaker;Creature;1
4GG;Flourishing Hunter;Creature;125
5G;Wolfkin Outcast;Creature;75
6G;Bramble Wurm;Creature;104
4GGG;Cultivator Colossus;Creature;90
WU;Dorothea, Vengeful Victim;Legendary Creature;43
1WU;Brine Comber;Creature;61
1WB;Kaya, Geist Hunter;Legendary Planeswalker;254
1WB;Markov Purifier;Creature;55
2WB;Edgar, Charmed Groom;Legendary Creature;10
UB;Skull Skaab;Creature;77
1UB;Runo Stromkirk;Legendary Creature;121
1UR;Eruth, Tormented Prophet;Legendary Creature;84
1UR;Wandering Mind;Creature;63
BR;Bloodtithe Harvester;Creature;45
2BR;Anje, Maid of Dishonor;Legendary Creature;14
4BR;Olivia, Crimson Bride;Legendary Creature;24
1BG;Old Rutstein;Legendary Creature;44
2BG;Ancient Lumberknot;Creature;78
2RG;Child of the Pack;Creature;54
2RG;Halana and Alena, Partners;Legendary Creature;6
1RW;Odric, Blood-Cursed;Legendary Creature;159
2RW;Markov Waltzer;Creature;64
1GW;Torens, Fist of the Angels;Legendary Creature;20
2GW;Sigardian Paladin;Creature;89
GU;Vilespawn Spider;Creature;133
2GU;Grolnok, the Omnivore;Legendary Creature;46
1;Ceremonial Knife;Artifact;225
1;Lantern of the Lost;Artifact;253
2;Investigator's Journal;Artifact;176
2;Wedding Invitation;Artifact;224
3;Blood Servitor;Artifact Creature;237
3;Boarded Window;Artifact;171
3;Foreboding Statue;Artifact Creature;117
3;Honored Heirloom;Artifact;236
5;Dollhouse of Horrors;Artifact;23
