mana;name;type;order
5UU;Reality Heist;Instant;270
XU;March of Swirling Mist;Instant;254
XUU;Awakened Awareness;Enchantment;281
B;Clawing Torment;Enchantment;245
B;Dockside Chef;Enchantment Creature;74
B;Okiba Reckoner Raid;Enchantment;102
;Nezumi Road Captain;Enchantment Creature;
B;You Are Already Dead;Instant;152
1B;Blade of the Oni;Artifact Creature;12
1B;Dokuchi Silencer;Creature;76
1B;Inkrise Infiltrator;Creature;153
1B;Leech Gauntlet;Artifact Creature;59
1B;Lethal Exploit;Instant;130
1B;Life of Toshiro Umezawa;Enchantment;52
;Memory of Toshiro;Enchantment Creature;
1B;Mukotai Soulripper;Artifact;53
1B;Nezumi Prowler;Artifact Creature;87
1B;Reckoner's Bargain;Instant;246
1B;Return to Action;Instant;247
1B;Tribute to Horobi;Enchantment;24
;Echo of Death's Wail;Enchantment Creature;
1B;Virus Beetle;Artifact Creature;119
2B;Biting-Palm Ninja;Creature;36
2B;Chainflail Centipede;Artifact Creature;171
2B;Debt to the Kami;Instant;172
2B;Enormous Energy Blade;Artifact;279
2B;Gravelighter;Creature;131
2B;Kaito's Pursuit;Sorcery;220
1BB;Malicious Malfunction;Sorcery;193
1BB;Nashi, Moon Sage's Scion;Legendary Creature;15
2B;Nezumi Bladeblesser;Creature;191
2B;Reckoner Shakedown;Sorcery;222
1BB;Soul Transfer;Sorcery;35
2B;Tatsunari, Toad Rider;Legendary Creature;26
2B;Undercity Scrounger;Artifact Creature;174
2B;Unforgiving One;Creature;148
2BB;Assassin's Ink;Instant;47
3B;Go-Shintai of Hidden Cruelty;Legendary Enchantment Creature;116
3B;Hidetsugu, Devouring Chaos;Legendary Creature;11
3B;Kami of Terrible Secrets;Creature;173
3B;Mukotai Ambusher;Artifact Creature;192
3B;The Long Reach of Night;Enchantment;136
;Animus of Night's Reach;Enchantment Creature;
2BB;Twisted Embrace;Enchantment;103
1BBBB;Invoke Despair;Sorcery;211
3BB;Junji, the Midnight Sky;Legendary Creature;4
4B;Kami of Restless Shadows;Creature;221
4B;Okiba Salvage;Sorcery;210
4BB;Dokuchi Shadow-Walker;Creature;194
XB;March of Wretched Sorrow;Instant;88
R;Akki War Paint;Enchantment;278
R;Experimental Synthesizer;Artifact;120
R;Kindled Fury;Instant;249
R;Kumano Faces Kakkazan;Enchantment;92
;Etching of Kumano;Enchantment Creature;
R;Rabbit Battery;Artifact Creature;75
R;Reinforced Ronin;Artifact Creature;86
R;Simian Sling;Artifact Creature;208
R;Voltage Surge;Instant;104
1R;Akki Ember-Keeper;Enchantment Creature;209
1R;Akki Ronin;Creature;190
1R;Crackling Emergence;Enchantment;224
1R;Dragonspark Reactor;Artifact;180
1R;Explosive Entry;Sorcery;261
1R;Goro-Goro, Disciple of Ryusei;Legendary Creature;42
1R;Kami's Flare;Instant;71
1R;Lizard Blades;Artifact Creature;32
1R;Ogre-Head Helm;Artifact Creature;40
1R;Sokenzan Smelter;Creature;96
1R;Tempered in Solitude;Enchantment;67
1R;Towashi Songshaper;Artifact Creature;226
1R;Upriser Renegade;Creature;186
2R;Ambitious Assault;Instant;223
2R;Bronzeplate Boar;Artifact Creature;97
2R;Fable of the Mirror-Breaker;Enchantment;21
;Reflection of Kiki-Jiki;Enchantment Creature;
2R;Go-Shintai of Ancient Wars;Legendary Enchantment Creature;115
2R;Peerless Samurai;Creature;188
2R;Scrap Welder;Creature;129
2R;Seismic Wave;Instant;123
2R;Unstoppable Ogre;Artifact Creature;187
2RR;Atsushi, the Blazing Sky;Legendary Creature;3
3R;Gift of Wrath;Enchantment;248
3R;Heiko Yamazaki, the General;Legendary Creature;114
3R;Scrapyard Steelbreaker;Artifact Creature;225
2RR;Thundering Raiju;Creature;14
3R;Twinshot Sniper;Artifact Creature;31
1RRRR;Invoke Calamity;Instant;277
4R;Kami of Industry;Creature;235
4R;The Shattered States Era;Enchantment;242
;Nameless Conqueror;Enchantment Creature;
5R;Ironhoof Boar;Artifact Creature;175
8RR;Explosive Singularity;Sorcery;230
XR;Flame Discharge;Instant;62
XR;March of Reckless Joy;Instant;189
G;Commune with Spirits;Sorcery;176
G;Fang of Shigeki;Enchantment Creature;151
G;Generous Visitor;Creature;128
G;Tamiyo's Safekeeping;Instant;263
1G;Azusa's Many Journeys;Enchantment;202
;Likeness of the Seeker;Enchantment Creature;
1G;Bamboo Grove Archer;Enchantment Creature;234
1G;Boon of Boseiju;Instant;185
1G;Coiling Stalker;Creature;184
1G;Go-Shintai of Boundless Vigor;Legendary Enchantment Creature;113
1G;Jukai Trainee;Creature;166
1G;Kami of Transience;Creature;57
1G;Kappa Tech-Wrecker;Creature;34
1G;Master's Rebuke;Instant;72
1G;Orochi Merge-Keeper;Creature;127
1G;Roaring Earth;Enchantment;182
1G;Shigeki, Jukai Visionary;Legendary Enchantment Creature;55
1G;Teachings of the Kirin;Enchantment;43
;Kirin-Touched Orochi;Enchantment Creature;
1G;Weaver of Harmony;Enchantment Creature;85
2G;Bearer of Memory;Enchantment Creature;204
2G;Careful Cultivation;Enchantment;144
2G;Fade into Antiquity;Sorcery;145
2G;Grafted Growth;Enchantment;177
2G;Heir of the Ancient Fang;Creature;233
2G;Historian's Wisdom;Enchantment;257
2G;Jugan Defends the Temple;Enchantment;8
;Remnant of the Rising Star;Enchantment Creature;
2G;Kodama of the West Tree;Legendary Creature;25
2G;Season of Renewal;Instant;178
2G;Storyweave;Instant;207
2G;The Dragon-Kami Reborn;Enchantment;259
;Dragon-Kami's Egg;Enchantment Creature;
2G;Webspinner Cuff;Artifact Creature;181
3G;Boseiju Reaches Skyward;Enchantment;70
;Branch of Boseiju;Enchantment Creature;
3G;Favor of Jukai;Enchantment;262
3G;Geothermal Kami;Creature;150
3G;Harmonious Emergence;Enchantment;227
3G;Jukai Preserver;Enchantment Creature;121
3GG;Blossom Prancer;Creature;41
1GGGG;Invoke the Ancients;Sorcery;44
3GG;Kura, the Boundless Sky;Legendary Creature;2
3GG;Spring-Leaf Avenger;Creature;29
4G;Tales of Master Seshiro;Enchantment;138
;Seshiro's Living Legacy;Enchantment Creature;
4GG;Greater Tanuki;Enchantment Creature;183
XG;March of Burgeoning Life;Instant;276
XXGG;Spinning Wheel Kick;Sorcery;112
1WU;Prodigy's Prototype;Artifact;79
1WB;Greasefang, Okiba Boss;Legendary Creature;66
3WB;Naomi, Pillar of Order;Legendary Creature;80
3WB;Spirit-Sister's Call;Enchantment;232
UB;Silver-Fur Master;Creature;78
1UB;Kaito Shizuki;Legendary Planeswalker;10
1UB;Satoru Umezawa;Legendary Creature;9
3UB;Kotose, the Silent Spider;Legendary Creature;46
UR;Enthusiastic Mechanaut;Artifact Creature;83
BR;Oni-Cult Anvil;Artifact;65
1BR;Hidetsugu Consumes All;Enchantment;137
;Vessel of the All-Consuming;Enchantment Creature;
1BG;Gloomshrieker;Enchantment Creature;54
1RG;Invigorating Hot Spring;Enchantment;63
1RW;Risona, Asari Commander;Legendary Creature;58
2RW;Raiyuu, Storm's Edge;Legendary Creature;13
3RW;Asari Captain;Creature;84
XRW;Eiganjo Uprising;Sorcery;256
GW;Jukai Naturalist;Enchantment Creature;81
GW;Satsuki, the Living Lore;Legendary Creature;64
2GGU;Tamiyo, Compleated Sage;Legendary Planeswalker;1
4GGU;Colossal Skyturtle;Enchantment Creature;56
RWB;Isshin, Two Heavens as One;Legendary Creature;82
1URW;Hinata, Dawn-Crowned;Legendary Creature;111
1WUBRG;The Kami War;Enchantment;37
;O-Kagachi Made Manifest;Enchantment Creature;
1;Bronze Cudgels;Artifact;266
1;Eater of Virtue;Legendary Artifact;39
1;Iron Apprentice;Artifact Creature;265
1;Ninja's Kunai;Artifact;146
2;Automated Artificer;Artifact Creature;250
2;Containment Construct;Artifact Creature;107
2;Ecologist's Terrarium;Artifact;228
2;High-Speed Hoverbike;Artifact;149
2;Mechtitan Core;Artifact;206
2;Papercraft Decoy;Artifact Creature;205
2;Patchwork Automaton;Artifact Creature;105
2;Reckoner Bankbuster;Artifact;23
3;Brute Suit;Artifact;251
3;Circuit Mender;Artifact Creature;77
3;Mirror Box;Artifact;275
3;Network Terminal;Artifact;229
3;Reito Sentinel;Artifact Creature;255
3;Runaway Trash-Bot;Artifact Creature;231
3;Searchlight Companion;Artifact Creature;179
4;Dramatist's Puppet;Artifact Creature;264
4;Surgehacker Mech;Artifact;30
4;Towashi Guide-Bot;Artifact Creature;126
5;Shrine Steward;Artifact Creature;252
7;Thundersteel Colossus;Artifact;253
8;Walking Skyscraper;Artifact Creature;110
;Bloodfell Caves;Land;163
;Blossoming Sands;Land;162
;Boseiju, Who Endures;Legendary Land;125
;Dismal Backwater;Land;161
;Eiganjo, Seat of the Empire;Legendary Land;73
;Forest;Basic Land;
;Island;Basic Land;
;Jungle Hollow;Land;199
;Mech Hangar;Land;268
;Mountain;Basic Land;
;Otawara, Soaring City;Legendary Land;109
;Plains;Basic Land;
;Roadside Reliquary;Land;95
;Rugged Highlands;Land;200
;Scoured Barrens;Land;201
;Secluded Courtyard;Land;267
;Sokenzan, Crucible of Defiance;Legendary Land;124
;Swamp;Basic Land;
;Swiftwater Cliffs;Land;158
;Takenuma, Abandoned Mire;Legendary Land;108
;Thornwood Falls;Land;159
;Tranquil Cove;Land;160
;Uncharted Haven;Land;147
;Wind-Scarred Crag;Land;164
