mana;name;type;order
5;The Mightstone and Weakstone;Legendary Artifact;40
;Urza, Planeswalker;Legendary Planeswalker;
5;Tocasia's Onulet;Artifact Creature;253
6;Argivian Avenger;Artifact Creature;194
6;Artificer's Dragon;Artifact Creature;
7;Heavyweight Demolisher;Artifact Creature;240
7;Terisian Mindbreaker;Artifact Creature;153
7;Terror Ballista;Artifact Creature;
8;Cityscape Leveler;Artifact Creature;14
8;Su-Chi Cave Guard;Artifact Creature;236
9;Portal to Phyrexia;Artifact;13
X4;Clay Champion;Artifact Creature;8
X6;Bladecoil Serpent;Artifact Creature;9
;Argoth, Sanctum of Nature;Land;189
;Titania, Gaea Incarnate;Legendary Creature;
;Battlefield Forge;Land;188
;Blast Zone;Land;120
;Brushland;Land;187
;Demolition Field;Land;326
;Evolving Wilds;Land;141
;Forest;Basic Land;
;Fortified Beachhead;Land;143
;Hall of Tagsin;Land;186
;Island;Basic Land;
;Llanowar Wastes;Land;185
;Mishra's Foundry;Land;142
;Mountain;Basic Land;
;Plains;Basic Land;
;Swamp;Basic Land;
;Tocasia's Dig Site;Land;234
;Underground River;Land;184
